id,title,category,kind,correspondent,fileFormat,path,indexed,contentLength,extractionMethod,chunks,sha256,tags,summary
doc-cne-ces-resolucao-002-2007-carga-horaria-integralizacao-bacharelados,CNE CES Resolucao 002 2007 Carga Horaria Integralizacao Bacharelados,Documentos,PPC,MEC/CNE,PDF,documents/cne-ces_resolucao-002-2007_carga-horaria-integralizacao-bacharelados.pdf,True,5332,pdftotext,7,015a6d88be108bbfb04ffff3f1351e504cc9a536443b76b5834f861675279b24,Documentos; PPC; projeto pedagógico; currículo; estágio; atividades complementares; horas; portaria; resolução; NAES; normas acadêmicas; 2007; 1961; 1995; 2015; 2016,"MINISTÉRIO DA EDUCAÇÃO CONSELHO NACIONAL DE EDUCAÇÃO CÂMARA DE EDUCAÇÃO SUPERIOR RESOLUÇÃO Nº 2, DE 18 DE JUNHO DE 2007 (*) (**) (***) (****) Dispõe sobre carga horária mínima e procedimentos relativos à integralização e duração dos cursos de graduação, bacharelados, na modalidade presencial. O Presidente da Câmara de Educação Superior do Conselho Nacional d…"
doc-cne-ces-resolucao-005-2016-diretrizes-computacao,CNE CES Resolucao 005 2016 Diretrizes Computacao,Documentos,PPC,MEC/CNE,PDF,documents/cne-ces_resolucao-005-2016_diretrizes-computacao.pdf,True,27123,pdftotext,24,22bb89aa1ad52df0b06f505d6fca47a93aef6cfbc456b2074bf3b541136aa788,Documentos; PPC; projeto pedagógico; currículo; matriz; disciplinas; estágio; extensão; atividades complementares; horas; NDE; resolução; regulamento; 2016; 1961; 1995; 1997; 2001,"MINISTÉRIO DA EDUCAÇÃO CONSELHO NACIONAL DE EDUCAÇÃO CÂMARA DE EDUCAÇÃO SUPERIOR RESOLUÇÃO Nº 5, DE 16 DE NOVEMBRO DE 2016 (*) Institui as Diretrizes Curriculares Nacionais para os cursos de graduação na área da Computação, abrangendo os cursos de bacharelado em Ciência da Computação, em Sistemas de Informação, em Engenharia de Computação, em Engenharia de S…"
doc-cne-ces-resolucao-007-2018-diretrizes-extensao-educacao-superior,CNE CES Resolucao 007 2018 Diretrizes Extensao Educacao Superior,Documentos,Matriz curricular,MEC/CNE,PDF,documents/cne-ces_resolucao-007-2018_diretrizes-extensao-educacao-superior.pdf,True,11494,pdftotext,12,51df352176d91b6427a8bf4f418824684ca9777c6911e1722416fac8032e5dac,Documentos; Matriz curricular; PPC; projeto pedagógico; currículo; matriz; disciplinas; extensão; NDE; portaria; resolução; 2018; 1961; 1995; 1996; 2014; 2019,"MINISTÉRIO DA EDUCAÇÃO CONSELHO NACIONAL DE EDUCAÇÃO CÂMARA DE EDUCAÇÃO SUPERIOR RESOLUÇÃO Nº 7, DE 18 DE DEZEMBRO DE 2018 (*) (**) Estabelece as Diretrizes para a Extensão na Educação Superior Brasileira e regimenta o disposto na Meta 12.7 da Lei nº 13.005/201 - - O Presidente da Câmara de Educação Superior do Conselho Nacional de Educação, no uso de suas a…"
doc-conaes-resolucao-001-2010-nucleo-docente-estruturante,CONAES Resolucao 001 2010 Nucleo Docente Estruturante,Documentos,Resolução,CONAES,PDF,documents/conaes_resolucao-001-2010_nucleo-docente-estruturante.pdf,False,0,no_text,1,32760274d49c1e20c836ca71c22e67805b7b77bcf32dff9ba1513784ea1b0984,Documentos; Resolução; NDE; NAES; normas acadêmicas; 2010; sem texto extraível,Resolução em Documentos.
doc-ifba-vca-bsi-colegiado-resultado-eleicao-representantes-2024-2026,IFBA VCA BSI Colegiado Resultado Eleicao Representantes 2024 2026,Documentos,Portaria,Colegiado de Curso,PDF,documents/ifba-vca_bsi_colegiado_resultado-eleicao-representantes_2024-2026.pdf,True,1874,pdftotext,2,a54529aaf943be54076a979a5839d32b5ad30adb4be51f69b518626a547e1b02,Documentos; Portaria; colegiado; 2024; 2026; 2019; 1905; 2021; 1900; 2023,"MINISTÉRIO DA EDUCAÇÃO SECRETARIA DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA CAMPUS VITÓRIA DA CONQUISTA BACHARELADO EM SISTEMAS DE INFORMAÇÃO COLEGIADO DE CURSO Eleição de Representantes Discentes e Representantes Docentes para o Biênio 2024/2026 Resultado Definitivo de Votação O Colegiado do Curso de…"
doc-ifba-vca-bsi-fluxograma-curricular-ppc-2013,IFBA VCA BSI Fluxograma Curricular PPC 2013,Documentos,PPC,IFBA,PDF,documents/ifba-vca_bsi_fluxograma-curricular_ppc-2013.pdf,True,130,pdftotext,1,290de1cd0ea73e38279e5bbec890231f6c33e04e69bd63ad23a9de519d0cc0ae,Documentos; PPC; projeto pedagógico; currículo; fluxograma; matriz; 2013,"PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM SISTEMAS DE INFORMAÇÃO 3.2. FLUXOGRAMA DO CURSO IFBA, CAMPUS VITÓRIA DA CONQUISTA 53"
doc-ifba-vca-bsi-matriz-curricular-obrigatoria-2017,IFBA VCA BSI Matriz Curricular Obrigatoria 2017,Documentos,Matriz curricular,IFBA,PDF,documents/ifba-vca_bsi_matriz-curricular_obrigatoria_2017.pdf,True,273,pdftotext,1,bdf96e15343f4c150fe9e5f1b05942e1cad09c27ce77a73ce928a1599a3172a3,Documentos; Matriz curricular; matriz; currículo; disciplinas; 2017,"BACHARELADO EM SISTEMAS DE INFORMAÇÃO MATRIZ CURRICULAR (EM VIGOR A PARTIR DE 2017) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA | CAMPUS VITÓRIA DA CONQUISTA Avenida Sérgio Vieira de Mello, 3.150, Bairro Zabelê, Vitória da Conquista, Bahia | CEP 45.078-900"
doc-ifba-vca-bsi-matriz-curricular-obrigatoria-2024,IFBA VCA BSI Matriz Curricular Obrigatoria 2024,Documentos,Matriz curricular,NDE,PDF,documents/ifba-vca_bsi_matriz-curricular_obrigatoria_2024.pdf,True,175,pdftotext,1,375be71a5d4f7532a504933822d8dce86b3d7ab2938ac020f79f0591be4808da,Documentos; Matriz curricular; matriz; currículo; disciplinas; NDE; 2024,"CURSO DE BACHARELADO EM SISTEMAS DE INFORMAÇÃO MATRIZ CURRICULAR Avenida Sérgio Vieira Melo, 3.150, Candeias, Vitória da Conquista, Bahia | CEP 45.078-900 Vitória da Conquista"
doc-ifba-vca-bsi-matriz-curricular-optativas-2024,IFBA VCA BSI Matriz Curricular Optativas 2024,Documentos,Matriz curricular,NDE,PDF,documents/ifba-vca_bsi_matriz-curricular_optativas_2024.pdf,True,200,pdftotext,1,eaf2de72592abf1252f989f514be504aa0a58d7083c9b18848c6bf71cf15bbb0,Documentos; Matriz curricular; matriz; currículo; disciplinas; optativas; NDE; 2024,"CURSO DE BACHARELADO EM SISTEMAS DE INFORMAÇÃO MATRIZ CURRICULAR DE COMPONENTES OPTATIVOS Avenida Sérgio Vieira Melo, 3.150, Candeias, Vitória da Conquista, Bahia | CEP 45.078-900 Vitória da Conquista"
doc-ifba-vca-bsi-portaria-colegiado-curso-184-2025-dg,IFBA VCA BSI Portaria Colegiado Curso 184 2025 DG,Documentos,Portaria,Colegiado de Curso,PDF,documents/ifba-vca_bsi_portaria-colegiado-curso_184-2025-dg.pdf,True,2633,pdftotext,3,2bdbb74e48f3efca7377313223e19256ab657c1e6ddde30fe62a9121583e0f4a,Documentos; Portaria; colegiado; 2025; 2024; 1966; 1958; 2023; 1900; 2021; 2002; 2015,"Ministério da Educação Secretaria de Educação Profissional e Tecnológica Instituto Federal de Educação, Ciência e Tecnologia da Bahia PORTARIA Nº 184 DE 19 DE NOVEMBRO DE 2025 O DIRETOR GERAL DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA – CAMPUS VITÓRIA DA CONQUISTA , no uso de suas atribuições legais, conforme lhe confere a Portaria nº 1.…"
